id_cliente_anon,zona,tipo_cliente,mes,tipo_servicio,superficie_m2,distancia_km,tecnico_id,servicios_mes,monto_mensual_ars
10,DESCONOCIDA,Residencial,8,Desratización,113,12.0,5,0,1508
10,DESCONOCIDA,Residencial,9,Desinfección,251,12.3,5,0,4462
10,DESCONOCIDA,Residencial,10,Fumigación,132,13.0,1,0,1507
10,DESCONOCIDA,Residencial,11,Desratización,105,14.5,2,0,1514
10,DESCONOCIDA,Residencial,12,Fumigación,286,14.3,1,2,16778
11,DESCONOCIDA,Residencial,1,Desinfección,247,12.2,7,4,32893
11,DESCONOCIDA,Residencial,2,Desratización,115,13.7,5,1,8848
11,DESCONOCIDA,Residencial,3,Fumigación,379,12.0,2,3,31645
11,DESCONOCIDA,Residencial,4,Fumigación,136,14.3,6,0,0
11,DESCONOCIDA,Residencial,5,Fumigación,171,13.3,4,3,27496
11,DESCONOCIDA,Residencial,6,Fumigación,148,12.4,1,2,18784
11,DESCONOCIDA,Residencial,7,Desinfección,91,12.3,4,1,8788
11,DESCONOCIDA,Residencial,8,Desratización,130,13.5,5,1,7813
11,DESCONOCIDA,Residencial,9,Fumigación,139,13.2,5,0,162
11,DESCONOCIDA,Residencial,10,Fumigación,56,13.2,8,1,9451
11,DESCONOCIDA,Residencial,11,Fumigación,166,15.6,2,0,1584
11,DESCONOCIDA,Residencial,12,Fumigación,229,12.3,6,1,14066
12,DESCONOCIDA,Residencial,1,Fumigación,78,12.2,4,0,4081
12,DESCONOCIDA,Residencial,2,Fumigación,206,15.0,5,0,4365
12,DESCONOCIDA,Residencial,3,Desratización,259,12.9,4,0,3220
12,DESCONOCIDA,Residencial,4,Fumigación,131,12.5,4,1,18516
12,DESCONOCIDA,Residencial,5,Fumigación,375,13.6,2,1,11844
12,DESCONOCIDA,Residencial,6,Desinfección,164,15.5,2,0,0
12,DESCONOCIDA,Residencial,7,Fumigación,55,12.8,5,0,6420
12,DESCONOCIDA,Residencial,8,Desratización,72,14.8,5,0,1572
12,DESCONOCIDA,Residencial,9,Desratización,168,13.8,4,1,16013
12,DESCONOCIDA,Residencial,10,Fumigación,200,12.1,6,0,437
12,DESCONOCIDA,Residencial,11,Fumigación,146,12.9,1,0,5726
12,DESCONOCIDA,Residencial,12,Fumigación,162,12.1,5,0,8208
13,DESCONOCIDA,Residencial,1,Fumigación,149,13.7,4,3,24455
13,DESCONOCIDA,Residencial,2,Fumigación,100,12.3,6,2,16354
13,DESCONOCIDA,Residencial,3,Desinfección,149,16.9,7,1,11143
13,DESCONOCIDA,Residencial,4,Fumigación,64,15.2,7,0,4043
13,DESCONOCIDA,Residencial,5,Fumigación,118,13.1,4,2,19564
13,DESCONOCIDA,Residencial,6,Fumigación,192,15.3,3,4,39495
13,DESCONOCIDA,Residencial,7,Desratización,88,13.7,6,2,17643
13,DESCONOCIDA,Residencial,8,Fumigación,124,13.7,7,1,13864
13,DESCONOCIDA,Residencial,9,Fumigación,155,16.1,3,3,32711
13,DESCONOCIDA,Residencial,10,Fumigación,362,12.6,6,2,23596
13,DESCONOCIDA,Residencial,11,Desratización,246,14.5,1,0,0
13,DESCONOCIDA,Residencial,12,Fumigación,63,12.1,2,3,28075
14,DESCONOCIDA,Residencial,1,Desinfección,415,13.3,1,2,18037
14,DESCONOCIDA,Residencial,2,Desinfección,298,12.0,1,0,720
14,DESCONOCIDA,Residencial,3,Fumigación,160,12.8,8,2,14832
14,DESCONOCIDA,Residencial,4,Desinfección,223,14.1,5,0,0
14,DESCONOCIDA,Residencial,5,Fumigación,94,12.3,4,0,1450
14,DESCONOCIDA,Residencial,6,Desinfección,140,13.2,7,4,31754
14,DESCONOCIDA,Residencial,7,Desinfección,91,12.1,6,0,740
14,DESCONOCIDA,Residencial,8,Fumigación,199,14.7,1,1,8946
14,DESCONOCIDA,Residencial,9,Fumigación,491,14.3,8,2,23352
14,DESCONOCIDA,Residencial,10,Desinfección,115,15.0,6,1,5774
14,DESCONOCIDA,Residencial,11,Fumigación,132,14.4,2,2,20717
14,DESCONOCIDA,Residencial,12,Fumigación,142,12.4,4,3,30165
15,DESCONOCIDA,Residencial,1,Fumigación,118,12.3,6,2,16707
15,DESCONOCIDA,Residencial,2,Desinfección,193,12.2,5,5,42543
15,DESCONOCIDA,Residencial,3,Desinfección,257,14.0,3,0,0
15,DESCONOCIDA,Residencial,4,Fumigación,104,13.3,1,2,19667
15,DESCONOCIDA,Residencial,5,Fumigación,141,12.4,6,1,12641
15,DESCONOCIDA,Residencial,6,Fumigación,207,12.7,4,1,10390
15,DESCONOCIDA,Residencial,7,Desinfección,87,16.5,7,2,14319
15,DESCONOCIDA,Residencial,8,Fumigación,74,13.5,3,2,18783
15,DESCONOCIDA,Residencial,9,Desinfección,103,14.1,7,0,3226
15,DESCONOCIDA,Residencial,10,Fumigación,213,16.0,6,2,21430
15,DESCONOCIDA,Residencial,11,Desratización,85,13.9,5,3,28022
15,DESCONOCIDA,Residencial,12,Fumigación,107,12.8,8,3,26864
16,DESCONOCIDA,Residencial,1,Fumigación,142,14.8,8,2,19423
16,DESCONOCIDA,Residencial,2,Fumigación,155,12.4,8,0,3585
16,DESCONOCIDA,Residencial,3,Desratización,132,12.2,2,1,11709
16,DESCONOCIDA,Residencial,4,Desratización,144,16.7,6,0,635
16,DESCONOCIDA,Residencial,5,Fumigación,66,15.5,5,0,114
16,DESCONOCIDA,Residencial,6,Desinfección,101,14.5,2,3,19300
16,DESCONOCIDA,Residencial,7,Desinfección,223,14.4,2,1,15734
16,DESCONOCIDA,Residencial,8,Desinfección,97,15.1,2,1,7585
16,DESCONOCIDA,Residencial,9,Fumigación,158,12.7,5,1,8280
16,DESCONOCIDA,Residencial,10,Fumigación,149,12.7,1,0,4932
16,DESCONOCIDA,Residencial,11,Fumigación,210,13.1,8,2,18717
16,DESCONOCIDA,Residencial,12,Desratización,227,16.4,3,0,2106
17,DESCONOCIDA,Residencial,1,Desratización,264,13.3,4,3,31785
17,DESCONOCIDA,Residencial,2,Desinfección,311,12.9,1,4,33224
17,DESCONOCIDA,Residencial,3,Fumigación,86,12.4,1,1,11410
17,DESCONOCIDA,Residencial,4,Fumigación,52,12.7,4,1,10893
17,DESCONOCIDA,Residencial,5,Desinfección,115,13.6,8,1,5536
17,DESCONOCIDA,Residencial,6,Desratización,83,13.2,4,1,9722
17,DESCONOCIDA,Residencial,7,Desratización,91,14.0,7,0,3058
17,DESCONOCIDA,Residencial,8,Desinfección,188,13.0,3,1,10206
17,DESCONOCIDA,Residencial,9,Desinfección,255,13.1,6,1,8484
17,DESCONOCIDA,Residencial,10,Fumigación,160,15.9,7,0,0
17,DESCONOCIDA,Residencial,11,Fumigación,99,13.5,1,2,22844
17,DESCONOCIDA,Residencial,12,Desratización,165,13.8,3,0,3189
18,DESCONOCIDA,Residencial,1,Desinfección,214,13.0,1,2,24532
18,DESCONOCIDA,Residencial,2,Fumigación,66,16.5,6,1,10238
18,DESCONOCIDA,Residencial,3,Fumigación,119,12.4,6,1,11877
18,DESCONOCIDA,Residencial,4,Desinfección,125,14.7,4,1,9522
18,DESCONOCIDA,Residencial,5,Fumigación,130,15.1,7,0,0
18,DESCONOCIDA,Residencial,6,Fumigación,88,12.4,2,2,19673
18,DESCONOCIDA,Residencial,7,Fumigación,167,16.1,3,1,4972
18,DESCONOCIDA,Residencial,8,Desinfección,176,12.3,3,0,0
18,DESCONOCIDA,Residencial,9,Desinfección,85,13.7,2,3,23948
18,DESCONOCIDA,Residencial,10,Fumigación,291,12.2,6,3,30693
18,DESCONOCIDA,Residencial,11,Desinfección,75,13.6,1,2,7058
18,DESCONOCIDA,Residencial,12,Fumigación,97,13.0,7,3,28535
19,DESCONOCIDA,Residencial,1,Fumigación,72,17.2,2,2,15496
19,DESCONOCIDA,Residencial,2,Desinfección,67,14.2,6,0,3102
19,DESCONOCIDA,Residencial,3,Desinfección,151,12.4,2,2,15926
19,DESCONOCIDA,Residencial,4,Desinfección,97,15.4,8,2,19526
19,DESCONOCIDA,Residencial,5,Desinfección,228,14.8,5,2,12180
19,DESCONOCIDA,Residencial,6,Desinfección,89,13.1,1,1,2856
19,DESCONOCIDA,Residencial,7,Fumigación,98,13.0,2,2,22289
19,DESCONOCIDA,Residencial,8,Fumigación,211,12.6,6,1,14386
19,DESCONOCIDA,Residencial,9,Fumigación,79,13.8,6,0,8653
19,DESCONOCIDA,Residencial,10,Fumigación,109,15.1,2,1,11098
19,DESCONOCIDA,Residencial,11,Desratización,288,15.0,7,0,1913
19,DESCONOCIDA,Residencial,12,Fumigación,45,12.2,5,2,19347
20,DESCONOCIDA,Residencial,1,Desratización,66,14.9,5,1,12723
20,DESCONOCIDA,Residencial,2,Desinfección,318,13.5,8,3,26016
20,DESCONOCIDA,Residencial,3,Desinfección,177,12.9,8,0,0
20,DESCONOCIDA,Residencial,4,Fumigación,166,14.2,5,2,18519
20,DESCONOCIDA,Residencial,5,Desinfección,66,14.7,8,0,0
20,DESCONOCIDA,Residencial,6,Fumigación,148,13.1,8,1,8536
20,DESCONOCIDA,Residencial,7,Fumigación,86,14.5,8,3,30180
20,DESCONOCIDA,Residencial,8,Desinfección,232,13.1,4,1,14305
20,DESCONOCIDA,Residencial,9,Fumigación,238,14.4,3,0,868
20,DESCONOCIDA,Residencial,10,Fumigación,103,12.8,8,2,15698
20,DESCONOCIDA,Residencial,11,Desinfección,185,12.0,5,1,7760
20,DESCONOCIDA,Residencial,12,Fumigación,171,13.6,1,1,7037
21,DESCONOCIDA,Residencial,1,Desratización,131,13.8,4,0,812
21,DESCONOCIDA,Residencial,2,Desratización,87,13.0,3,3,24462
21,DESCONOCIDA,Residencial,3,Desratización,110,15.3,4,1,9441
21,DESCONOCIDA,Residencial,4,Fumigación,226,15.8,5,1,13019
21,DESCONOCIDA,Residencial,5,Fumigación,291,13.0,8,2,20860
21,DESCONOCIDA,Residencial,6,Desratización,115,13.4,2,1,12028
21,DESCONOCIDA,Residencial,7,Fumigación,308,15.0,2,1,12654
21,DESCONOCIDA,Residencial,8,Desratización,178,13.4,6,1,7957
21,DESCONOCIDA,Residencial,9,Desratización,133,14.8,8,5,49384
21,DESCONOCIDA,Residencial,10,Desratización,125,13.8,4,2,23666
21,DESCONOCIDA,Residencial,11,Fumigación,90,14.4,3,2,19708
21,DESCONOCIDA,Residencial,12,Fumigación,193,12.6,3,2,20949
22,DESCONOCIDA,Residencial,1,Desratización,340,13.0,1,0,185
22,DESCONOCIDA,Residencial,2,Fumigación,130,13.0,5,6,53163
22,DESCONOCIDA,Residencial,3,Fumigación,82,12.1,2,1,9415
22,DESCONOCIDA,Residencial,4,Desinfección,211,12.0,3,1,9559
22,DESCONOCIDA,Residencial,5,Desratización,112,12.9,1,0,895
22,DESCONOCIDA,Residencial,6,Desinfección,89,12.9,8,1,7806
22,DESCONOCIDA,Residencial,7,Desinfección,65,12.4,4,2,15138
22,DESCONOCIDA,Residencial,8,Fumigación,189,12.4,6,1,12345
22,DESCONOCIDA,Residencial,9,Desinfección,264,13.4,8,3,24669
22,DESCONOCIDA,Residencial,10,Desratización,73,12.3,1,1,7555
22,DESCONOCIDA,Residencial,11,Fumigación,118,14.4,2,1,8579
22,DESCONOCIDA,Residencial,12,Fumigación,124,12.4,6,1,13087
23,DESCONOCIDA,Residencial,1,Desratización,92,13.8,5,0,1586
23,DESCONOCIDA,Residencial,2,Desinfección,303,14.1,6,2,14211
23,DESCONOCIDA,Residencial,3,Desinfección,64,13.2,1,0,2080
23,DESCONOCIDA,Residencial,4,Desinfección,179,13.0,4,2,14090
23,DESCONOCIDA,Residencial,5,Fumigación,198,12.8,8,2,20116
23,DESCONOCIDA,Residencial,6,Fumigación,92,12.0,1,0,3998
23,DESCONOCIDA,Residencial,7,Desinfección,81,14.4,4,0,0
23,DESCONOCIDA,Residencial,8,Desinfección,100,12.4,1,2,12532
23,DESCONOCIDA,Residencial,9,Desratización,55,12.6,2,2,20847
23,DESCONOCIDA,Residencial,10,Desratización,104,13.5,3,0,673
23,DESCONOCIDA,Residencial,11,Fumigación,112,14.4,7,3,28656
23,DESCONOCIDA,Residencial,12,Fumigación,382,13.1,5,2,25140
24,DESCONOCIDA,Residencial,1,Desinfección,59,12.8,4,3,20775
24,DESCONOCIDA,Residencial,2,Desinfección,130,14.6,2,0,1949
24,DESCONOCIDA,Residencial,3,Desinfección,214,13.7,4,1,9525
24,DESCONOCIDA,Residencial,4,Desinfección,346,13.1,3,3,22280
24,DESCONOCIDA,Residencial,5,Desratización,61,12.3,8,0,2930
24,DESCONOCIDA,Residencial,6,Fumigación,375,12.1,4,1,12656
24,DESCONOCIDA,Residencial,7,Fumigación,118,14.3,3,1,9595
24,DESCONOCIDA,Residencial,8,Fumigación,118,14.6,3,3,31225
24,DESCONOCIDA,Residencial,9,Desinfección,74,15.9,4,0,0
24,DESCONOCIDA,Residencial,10,Fumigación,146,14.8,8,2,18054
24,DESCONOCIDA,Residencial,11,Fumigación,376,15.1,2,1,13444
24,DESCONOCIDA,Residencial,12,Fumigación,144,12.5,1,0,0
25,DESCONOCIDA,Residencial,1,Fumigación,87,16.2,6,3,25104
25,DESCONOCIDA,Residencial,2,Desinfección,97,14.0,6,1,9532
25,DESCONOCIDA,Residencial,3,Fumigación,99,12.7,8,0,0
25,DESCONOCIDA,Residencial,4,Fumigación,318,13.4,2,0,2840
25,DESCONOCIDA,Residencial,5,Desinfección,360,12.6,6,0,3697
25,DESCONOCIDA,Residencial,6,Fumigación,64,13.9,2,1,9243
25,DESCONOCIDA,Residencial,7,Fumigación,76,15.3,2,0,591
25,DESCONOCIDA,Residencial,8,Fumigación,81,13.2,8,3,25908
25,DESCONOCIDA,Residencial,9,Desinfección,102,12.8,7,2,15663
25,DESCONOCIDA,Residencial,10,Fumigación,402,12.7,4,1,10239
25,DESCONOCIDA,Residencial,11,Desinfección,372,13.0,6,2,21806
25,DESCONOCIDA,Residencial,12,Fumigación,140,14.3,1,0,5049
26,DESCONOCIDA,Residencial,1,Fumigación,109,14.0,1,1,9707
26,DESCONOCIDA,Residencial,2,Fumigación,51,14.8,3,4,38726
26,DESCONOCIDA,Residencial,3,Fumigación,157,12.2,1,2,20922
26,DESCONOCIDA,Residencial,4,Desinfección,147,12.7,2,2,13475
26,DESCONOCIDA,Residencial,5,Desinfección,72,12.1,4,1,4784
26,DESCONOCIDA,Residencial,6,Desratización,175,12.3,8,1,9650
26,DESCONOCIDA,Residencial,7,Fumigación,234,13.0,1,3,27360
26,DESCONOCIDA,Residencial,8,Fumigación,72,13.5,7,0,1870
26,DESCONOCIDA,Residencial,9,Desinfección,105,13.1,8,2,17312
26,DESCONOCIDA,Residencial,10,Fumigación,227,13.7,3,1,8495
26,DESCONOCIDA,Residencial,11,Fumigación,94,15.9,8,3,30619
26,DESCONOCIDA,Residencial,12,Fumigación,103,12.4,1,1,14857
27,DESCONOCIDA,Residencial,1,Fumigación,106,12.3,4,4,35567
27,DESCONOCIDA,Residencial,2,Desratización,180,13.4,2,2,22098
27,DESCONOCIDA,Residencial,3,Desinfección,253,12.0,1,4,34555
27,DESCONOCIDA,Residencial,4,Desinfección,333,12.7,4,0,1011
27,DESCONOCIDA,Residencial,5,Fumigación,243,12.9,3,3,34911
27,DESCONOCIDA,Residencial,6,Fumigación,139,13.3,8,2,21516
27,DESCONOCIDA,Residencial,7,Fumigación,198,12.9,2,0,3158
27,DESCONOCIDA,Residencial,8,Fumigación,70,15.7,7,2,17622
27,DESCONOCIDA,Residencial,9,Fumigación,433,14.0,6,2,25118
27,DESCONOCIDA,Residencial,10,Desinfección,89,14.0,3,1,7567
27,DESCONOCIDA,Residencial,11,Desinfección,190,12.1,5,3,26295
27,DESCONOCIDA,Residencial,12,Fumigación,151,13.6,6,1,5448
28,DESCONOCIDA,Residencial,1,Desratización,67,15.6,8,0,3140
28,DESCONOCIDA,Residencial,2,Desinfección,90,12.8,3,4,32428
28,DESCONOCIDA,Residencial,3,Desinfección,263,16.3,3,3,26250
28,DESCONOCIDA,Residencial,4,Desinfección,129,17.0,7,1,1866
28,DESCONOCIDA,Residencial,5,Fumigación,82,13.1,1,0,3722
28,DESCONOCIDA,Residencial,6,Fumigación,118,14.2,1,0,4571
28,DESCONOCIDA,Residencial,7,Fumigación,82,13.6,3,2,15248
28,DESCONOCIDA,Residencial,8,Desinfección,102,12.2,4,0,3803
28,DESCONOCIDA,Residencial,9,Fumigación,60,13.0,7,1,6470
28,DESCONOCIDA,Residencial,10,Fumigación,139,12.3,5,1,8301
28,DESCONOCIDA,Residencial,11,Fumigación,151,12.1,1,1,9546
28,DESCONOCIDA,Residencial,12,Fumigación,103,14.4,2,1,13017
29,DESCONOCIDA,Residencial,1,Desratización,262,12.1,4,1,13049
29,DESCONOCIDA,Residencial,2,Desinfección,106,12.9,8,2,15716
29,DESCONOCIDA,Residencial,3,Fumigación,129,12.7,7,2,18557
29,DESCONOCIDA,Residencial,4,Fumigación,100,13.9,8,1,11318
29,DESCONOCIDA,Residencial,5,Fumigación,112,12.1,1,1,10347
29,DESCONOCIDA,Residencial,6,Fumigación,203,12.3,8,0,3889
29,DESCONOCIDA,Residencial,7,Fumigación,71,12.1,7,2,16031
29,DESCONOCIDA,Residencial,8,Fumigación,174,13.1,2,1,16018
29,DESCONOCIDA,Residencial,9,Fumigación,94,12.8,2,0,3667
29,DESCONOCIDA,Residencial,10,Desinfección,72,13.7,3,5,31784
29,DESCONOCIDA,Residencial,11,Desinfección,114,16.8,5,2,16646
29,DESCONOCIDA,Residencial,12,Fumigación,189,16.1,6,1,6976
30,DESCONOCIDA,Residencial,1,Fumigación,112,12.2,7,2,18737
30,DESCONOCIDA,Residencial,2,Desinfección,84,13.1,1,3,15974
30,DESCONOCIDA,Residencial,3,Fumigación,364,13.2,8,1,7179
30,DESCONOCIDA,Residencial,4,Desratización,161,13.2,3,0,799
30,DESCONOCIDA,Residencial,5,Desinfección,141,13.4,3,4,29789
30,DESCONOCIDA,Residencial,6,Fumigación,186,13.5,5,2,22965
30,DESCONOCIDA,Residencial,7,Fumigación,197,13.4,7,4,37680
30,DESCONOCIDA,Residencial,8,Desinfección,106,13.6,4,1,9807
30,DESCONOCIDA,Residencial,9,Fumigación,220,12.9,3,1,14299
30,DESCONOCIDA,Residencial,10,Desinfección,66,13.5,4,1,4158
30,DESCONOCIDA,Residencial,11,Desratización,192,13.0,5,0,0
30,DESCONOCIDA,Residencial,12,Desinfección,109,13.9,3,3,21406
31,RIVADAVIA,Residencial,1,Fumigación,267,7.8,1,1,10263
31,RIVADAVIA,Residencial,2,Desinfección,105,8.5,4,3,25057
31,RIVADAVIA,Residencial,3,Fumigación,239,7.4,5,1,6024
31,RIVADAVIA,Residencial,4,Fumigación,164,10.7,6,0,0
31,RIVADAVIA,Residencial,5,Desratización,214,7.8,2,1,10956
31,RIVADAVIA,Residencial,6,Fumigación,143,8.8,3,1,5534
31,RIVADAVIA,Residencial,7,Desratización,57,8.0,3,1,7896
31,RIVADAVIA,Residencial,8,Desratización,256,7.9,3,1,8673
